social_class,race,age,sex,college_degree,income_category,religion,religious_service_freq,party_id_3cat,party_id_7cat,ft_hillary_clinton,ft_donald_trump,ft_libertarian_pres_cand,ft_green_pres_cand,ft_john_roberts,ft_pope_francis,ft_christian_fundamentalists,ft_feminists,ft_liberals,ft_labor_unions,ft_poor_people,ft_big_business,ft_conservatives,ft_us_supreme_court,ft_gay_men_and_lesbians,ft_congress,ft_rich_people,ft_muslims,ft_christians,ft_jews,ft_tea_party,ft_police,ft_transgender_people,ft_scientists,ft_black_lives_matter
Middle Class,White,60,Female,College Degree,Between $100k and $250k,Evangelical Protestant,Every Week,No Preference,"Independent, leans Democrat",50,0,50,50,60,85,85,85,85,85,85,30,60,70,70,40,40,85,100,85,30,85,50,100,40
Middle Class,White,62,Male,No College Degree,Between $100k and $250k,Undifferentiated Christian,A Few Times a Year,Republican,Strong Republican,15,60,NA,50,50,70,70,50,30,30,70,40,60,50,50,40,40,50,70,50,50,70,50,60,30
Middle Class,White,49,Female,No College Degree,More than $250k,Mainline Protestant,A Few Times a Year,Republican,NA,40,50,50,50,50,70,50,50,50,40,85,50,50,50,100,50,NA,NA,85,NA,50,85,85,85,50
Middle Class,White,80,Male,No College Degree,Less than $50k,Evangelical Protestant,Almost Every Week,Republican,Strong Republican,0,100,60,NA,15,15,85,30,0,15,100,60,85,40,0,40,85,70,100,85,85,85,0,70,0
NA,White,84,NA,No College Degree,NA,Not Religious,NA,Independent,"Independent, leans Republican",50,0,50,50,50,50,50,50,50,50,70,50,50,50,50,50,50,50,50,50,50,0,50,50,50
NA,White,22,Male,No College Degree,Less than $50k,Evangelical Protestant,NA,Democrat,Weak Democrat,50,60,50,50,50,85,100,15,40,100,85,15,40,50,85,40,85,85,70,85,40,85,85,100,40
Working Class,Black,26,Female,No College Degree,Less than $50k,Other Religion,A Few Times a Year,No Preference,"Independent, leans neither",85,50,50,50,50,50,50,50,50,50,85,50,50,50,60,50,50,50,85,50,50,85,60,50,100
NA,White,64,Female,No College Degree,Less than $50k,Evangelical Protestant,A Few Times a Year,Independent,"Independent, leans Republican",15,15,30,50,50,80,50,70,70,85,70,70,60,70,70,50,50,70,70,70,85,50,70,85,NA
Working Class,Hispanic,23,Female,No College Degree,Less than $50k,Roman Catholic,NA,Democrat,Weak Democrat,70,0,100,NA,NA,NA,60,100,85,85,100,70,85,50,100,60,30,85,70,70,50,85,100,100,100
NA,White,38,Male,No College Degree,Between $50k and $100k,Roman Catholic,Almost Every Week,Democrat,Strong Democrat,15,100,30,50,50,100,85,50,50,60,100,50,50,60,0,70,50,0,100,50,0,100,50,70,50
Middle Class,White,77,Female,College Degree,NA,Mainline Protestant,Every Week,Republican,Strong Republican,0,100,NA,0,85,50,70,50,0,50,70,70,85,15,60,30,85,55,100,85,0,100,60,70,0
Working Class,Black,19,Female,No College Degree,Less than $50k,Not Religious,NA,Democrat,Weak Democrat,85,40,50,50,70,70,70,100,70,85,70,85,85,85,50,85,50,50,85,50,70,85,50,85,100
Middle Class,White,90,NA,No College Degree,NA,Undifferentiated Christian,A Few Times a Year,Democrat,Strong Democrat,85,0,50,50,40,70,60,85,85,70,85,40,60,85,85,50,70,70,85,85,50,70,70,85,85
NA,White,31,Female,No College Degree,Less than $50k,Undifferentiated Christian,NA,Democrat,Strong Democrat,70,0,50,60,50,100,85,85,85,60,100,30,40,50,100,50,30,100,100,100,50,60,100,100,85
Working Class,White,59,Female,No College Degree,Between $100k and $250k,Roman Catholic,Every Week,Republican,Strong Republican,0,100,NA,NA,50,85,85,15,0,0,85,85,100,60,50,30,50,40,100,85,85,100,15,60,0
Working Class,Other,45,Male,No College Degree,Between $50k and $100k,Mainline Protestant,NA,Republican,Weak Republican,15,85,30,0,85,100,50,30,30,60,85,70,60,70,50,30,70,60,100,85,40,100,40,85,30
NA,White,66,Female,College Degree,Less than $50k,Evangelical Protestant,Once or Twice a Month,Independent,"Independent, leans neither",50,50,NA,NA,NA,60,60,50,60,60,60,40,50,60,50,60,40,60,85,70,40,70,40,85,60
NA,White,23,Male,No College Degree,Less than $50k,Evangelical Protestant,Every Week,Republican,Strong Republican,15,70,30,NA,NA,60,70,15,30,70,85,85,70,60,40,50,50,50,85,70,50,85,50,50,0
Working Class,Hispanic,26,Female,College Degree,Between $50k and $100k,Roman Catholic,NA,Democrat,Weak Democrat,60,0,50,50,50,70,30,70,70,60,70,50,40,40,70,40,50,70,60,70,30,70,70,60,70
NA,White,59,Male,No College Degree,Between $50k and $100k,Mainline Protestant,NA,Republican,Strong Republican,15,85,50,40,50,50,70,50,15,70,60,60,85,50,50,40,60,50,85,60,85,85,50,50,15
Middle Class,White,63,Female,College Degree,Between $100k and $250k,Mainline Protestant,A Few Times a Year,Independent,"Independent, leans Democrat",15,85,50,15,50,100,85,60,85,70,85,50,70,50,85,50,70,85,85,85,50,85,85,85,60
Lower Class,White,77,Male,No College Degree,Less than $50k,Roman Catholic,Every Week,Democrat,Weak Democrat,30,60,NA,NA,NA,100,NA,50,50,50,70,40,50,40,0,50,85,30,70,NA,15,60,NA,60,15
Working Class,Black,28,Male,No College Degree,Less than $50k,Undifferentiated Christian,NA,Democrat,Weak Democrat,85,50,NA,NA,45,NA,95,60,50,60,90,80,80,70,0,85,80,80,95,95,50,85,0,100,90
Middle Class,White,27,Male,College Degree,Between $50k and $100k,Undifferentiated Christian,A Few Times a Year,Republican,Strong Republican,15,60,50,NA,NA,50,40,60,50,30,60,15,60,40,50,50,50,50,85,50,30,85,50,85,15
Middle Class,White,NA,Female,College Degree,Less than $50k,Other Religion,Almost Every Week,Democrat,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Hispanic,20,Female,No College Degree,Between $50k and $100k,Roman Catholic,A Few Times a Year,Republican,Weak Republican,0,100,50,NA,100,100,60,50,15,100,100,70,100,70,50,70,40,50,85,85,70,100,50,60,0
NA,White,40,Female,No College Degree,Between $100k and $250k,Undifferentiated Christian,Once or Twice a Month,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Class,White,50,Male,No College Degree,Between $100k and $250k,Not Religious,NA,Independent,"Independent, leans Democrat",40,60,NA,NA,NA,50,50,50,40,70,50,30,60,50,50,30,50,50,50,50,60,50,50,70,50
NA,White,71,Female,No College Degree,Less than $50k,Roman Catholic,Almost Every Week,Independent,"Independent, leans Democrat",0,0,50,NA,50,100,50,50,30,40,70,0,50,15,85,0,50,50,85,70,50,85,85,70,60
Working Class,White,90,Female,No College Degree,Less than $50k,NA,NA,Democrat,Strong Democrat,85,50,NA,NA,NA,85,NA,NA,NA,NA,60,50,85,NA,NA,60,50,NA,50,NA,NA,60,NA,85,70
NA,Black,34,Female,No College Degree,Between $50k and $100k,Evangelical Protestant,A Few Times a Year,Democrat,Weak Democrat,70,50,50,60,60,85,85,50,50,85,70,70,50,70,50,85,50,50,85,50,70,85,50,85,70
Working Class,Black,49,Female,No College Degree,Less than $50k,Evangelical Protestant,Every Week,Democrat,Strong Democrat,85,70,NA,85,70,30,70,50,NA,50,50,70,50,70,50,70,70,50,100,50,60,85,0,70,70
NA,White,27,Male,No College Degree,Less than $50k,Undifferentiated Christian,A Few Times a Year,Independent,"Independent, leans Democrat",15,30,50,50,50,50,60,60,50,50,85,35,50,50,100,50,50,85,70,90,40,70,100,100,70
Middle Class,White,48,Male,No College Degree,Between $100k and $250k,Undifferentiated Christian,A Few Times a Year,Republican,Strong Republican,0,85,NA,NA,50,50,50,50,30,40,60,40,70,40,50,40,60,40,60,50,50,100,50,70,15
NA,Hispanic,49,Male,No College Degree,Less than $50k,Roman Catholic,NA,Republican,Weak Republican,15,15,NA,NA,60,85,50,50,0,30,50,50,70,60,40,30,50,0,100,50,50,60,0,70,50
Working Class,White,24,Male,No College Degree,Less than $50k,Undifferentiated Christian,A Few Times a Year,Democrat,Weak Democrat,70,30,40,70,50,85,50,70,60,50,70,60,40,50,70,50,70,85,60,70,50,70,60,85,85
Middle Class,Hispanic,56,Male,No College Degree,Between $50k and $100k,Mainline Protestant,Once or Twice a Month,Independent,"Independent, leans Democrat",60,50,NA,NA,60,60,50,60,60,70,70,70,70,70,50,70,60,60,60,60,60,70,50,70,NA
Middle Class,White,78,Male,No College Degree,Less than $50k,Mainline Protestant,Every Week,Democrat,Strong Democrat,100,0,40,70,0,100,60,70,100,100,100,60,50,60,50,30,50,85,70,85,0,85,50,100,100
Working Class,White,24,Male,No College Degree,Between $50k and $100k,Undifferentiated Christian,A Few Times a Year,Independent,"Independent, leans neither",15,70,85,60,40,50,50,30,30,85,70,15,85,40,50,15,40,50,100,30,30,0,50,85,50
Middle Class,Hispanic,63,Female,No College Degree,Less than $50k,Roman Catholic,Almost Every Week,Republican,Strong Republican,0,100,NA,50,60,100,70,50,50,60,100,85,70,60,70,60,70,50,100,100,50,100,70,60,70
Middle Class,Hispanic,71,Male,College Degree,Less than $50k,Roman Catholic,Once or Twice a Month,Independent,"Independent, leans Democrat",70,0,50,NA,15,100,85,50,100,100,70,50,0,50,60,70,50,50,100,50,0,60,50,85,60
Working Class,White,44,Male,No College Degree,Between $50k and $100k,Mainline Protestant,A Few Times a Year,Other,"Independent, leans Republican",40,60,100,40,50,60,50,50,50,60,70,60,50,50,70,50,50,70,70,70,50,70,70,85,40
Middle Class,Hispanic,21,Female,No College Degree,Less than $50k,Roman Catholic,NA,Independent,"Independent, leans neither",30,0,NA,NA,NA,NA,40,50,50,60,100,50,50,50,100,50,0,50,50,60,30,50,100,50,100
NA,White,30,Female,College Degree,Between $100k and $250k,Evangelical Protestant,Every Week,Republican,Weak Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,21,Male,No College Degree,Less than $50k,Roman Catholic,NA,Independent,"Independent, leans Republican",50,60,NA,50,0,NA,50,50,60,60,60,50,50,40,50,50,40,50,50,50,50,70,50,50,50
Working Class,White,29,Female,College Degree,Less than $50k,Roman Catholic,Once or Twice a Month,Republican,Weak Republican,40,70,NA,NA,NA,85,85,50,70,40,50,40,60,60,50,70,50,40,70,50,50,70,50,70,40
Lower Class,Other,76,Male,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans Democrat",85,30,NA,NA,NA,70,50,NA,NA,85,85,60,NA,40,0,30,100,60,100,100,15,1,0,85,50
Working Class,White,42,Female,College Degree,Between $50k and $100k,Roman Catholic,A Few Times a Year,Republican,Weak Republican,0,85,50,40,50,100,40,100,60,70,60,40,60,60,50,40,85,50,70,70,40,70,50,100,30
Upper Class,Black,24,Female,No College Degree,Less than $50k,Not Religious,NA,Democrat,Weak Democrat,85,0,50,50,50,50,50,50,50,50,85,60,50,50,50,50,85,50,100,50,50,15,50,70,100
NA,White,74,Male,No College Degree,Less than $50k,Not Religious,NA,Independent,"Independent, leans neither",15,60,50,NA,60,50,70,40,15,40,70,60,60,40,70,30,85,85,60,70,85,60,50,40,0
NA,White,51,Male,No College Degree,Between $100k and $250k,Not Religious,NA,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,76,Female,No College Degree,NA,Mainline Protestant,A Few Times a Year,Republican,Strong Republican,0,100,50,0,50,50,100,0,0,50,85,50,100,100,50,30,85,60,100,100,40,100,60,100,0
Working Class,Black,25,Male,No College Degree,Less than $50k,Mainline Protestant,NA,Democrat,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Class,Hispanic,60,NA,College Degree,Between $100k and $250k,Mainline Protestant,Every Week,Republican,Strong Republican,15,85,50,40,40,100,70,50,0,40,85,70,85,40,50,70,70,40,100,100,60,85,40,60,0
Working Class,White,30,Female,College Degree,Between $50k and $100k,Roman Catholic,Once or Twice a Month,Republican,Weak Republican,60,30,50,50,50,100,70,70,70,85,100,70,70,85,100,70,60,100,100,100,NA,100,100,70,50
Working Class,Hispanic,61,Female,No College Degree,Less than $50k,Roman Catholic,Every Week,Republican,Strong Republican,50,100,70,50,65,100,85,62,30,100,100,42,81,85,60,87,70,70,100,100,50,100,50,93,100
Middle Class,White,48,Female,College Degree,Between $50k and $100k,Roman Catholic,Once or Twice a Month,Democrat,Weak Democrat,60,0,30,50,50,85,70,85,70,85,85,60,70,85,85,60,85,85,85,85,70,85,70,100,85
NA,Hispanic,39,Male,No College Degree,Between $50k and $100k,Mainline Protestant,Every Week,Independent,"Independent, leans Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Class,White,50,Female,College Degree,More than $250k,Jewish,A Few Times a Year,Independent,"Independent, leans Democrat",70,0,30,15,70,70,0,40,60,0,100,60,0,70,100,40,60,40,100,100,0,70,100,70,30
NA,White,36,Female,No College Degree,Less than $50k,Roman Catholic,Once or Twice a Month,Democrat,Weak Democrat,40,40,NA,50,50,100,0,60,60,100,100,50,50,70,100,40,50,100,100,100,50,70,100,100,40
NA,White,58,Male,College Degree,Less than $50k,Jewish,NA,Independent,"Independent, leans Democrat",70,30,NA,50,70,100,70,50,100,85,85,70,85,85,50,0,85,85,85,85,40,85,50,85,85
Middle Class,Asian/Pacific Islander,30,Male,College Degree,Between $50k and $100k,Not Religious,NA,Independent,"Independent, leans Democrat",60,15,40,50,60,60,30,85,70,50,85,30,85,70,85,15,60,85,85,85,15,40,85,100,60
Working Class,White,52,Female,College Degree,Between $100k and $250k,Mainline Protestant,Almost Every Week,No Preference,"Independent, leans Democrat",70,0,NA,NA,70,70,15,50,70,70,70,60,30,85,70,40,70,70,100,70,30,85,70,70,70
Middle Class,White,54,Male,College Degree,Between $100k and $250k,Mainline Protestant,NA,Republican,Strong Republican,15,60,50,50,85,100,70,40,30,15,100,85,85,85,100,30,85,50,85,100,70,100,40,85,30
Middle Class,Hispanic,70,Male,College Degree,Between $100k and $250k,Evangelical Protestant,Every Week,Republican,Strong Republican,15,85,50,50,30,30,70,40,30,30,70,60,70,30,40,40,70,30,70,70,85,85,40,70,40
Working Class,White,81,Female,No College Degree,Less than $50k,Roman Catholic,Once or Twice a Month,Independent,"Independent, leans Republican",15,60,NA,50,NA,100,60,60,60,85,85,15,85,70,70,70,70,15,100,70,40,85,70,100,60
Working Class,White,41,Male,No College Degree,Between $50k and $100k,Undifferentiated Christian,A Few Times a Year,Independent,"Independent, leans Republican",60,85,NA,70,50,7,60,50,50,50,50,60,85,50,50,85,50,50,85,50,70,100,50,70,40
Lower Class,Black,23,Male,College Degree,Less than $50k,Evangelical Protestant,Once or Twice a Month,Independent,"Independent, leans Democrat",50,15,40,40,50,60,30,70,70,60,60,40,40,40,85,40,50,70,50,85,15,40,85,85,60
Working Class,White,45,Female,College Degree,Between $50k and $100k,Undifferentiated Christian,NA,Other,"Independent, leans Democrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,46,Male,No College Degree,Between $50k and $100k,Roman Catholic,NA,Republican,Strong Republican,25,65,NA,NA,50,85,50,45,45,50,50,30,70,50,50,45,50,40,85,50,50,70,45,80,30
Lower Class,Hispanic,72,Female,No College Degree,Less than $50k,Roman Catholic,Every Week,Democrat,Strong Democrat,85,0,NA,NA,50,100,50,50,50,70,70,70,50,70,70,70,50,70,50,50,50,100,70,100,70
Working Class,Black,59,Female,No College Degree,Less than $50k,Evangelical Protestant,A Few Times a Year,Democrat,Strong Democrat,85,0,NA,NA,NA,NA,85,70,50,85,100,40,15,85,50,85,0,60,100,70,50,60,50,85,100
Middle Class,Hispanic,57,Female,No College Degree,Less than $50k,Roman Catholic,NA,Democrat,Strong Democrat,85,50,50,50,85,100,85,85,100,85,100,70,60,100,85,60,70,60,85,85,70,100,85,85,85
Lower Class,White,35,Male,No College Degree,Less than $50k,NA,NA,Democrat,Weak Democrat,40,15,60,50,35,60,25,55,40,30,75,40,40,40,50,30,50,50,50,50,15,50,50,65,45
Middle Class,White,40,Female,College Degree,Between $50k and $100k,Not Religious,NA,Other,"Independent, leans Democrat",40,40,85,75,50,NA,40,60,51,NA,51,37,52,50,51,50,51,50,50,50,25,51,51,51,52
Working Class,White,55,Female,College Degree,Between $100k and $250k,Mainline Protestant,A Few Times a Year,Independent,"Independent, leans Democrat",70,0,15,50,15,70,15,50,60,50,50,30,30,30,85,15,50,70,50,70,0,85,70,50,50
NA,Asian/Pacific Islander,79,Female,College Degree,NA,Undifferentiated Christian,Every Week,Republican,Weak Republican,85,30,NA,NA,40,70,60,40,NA,NA,100,NA,60,85,15,40,NA,15,60,NA,40,40,30,70,40
NA,Asian/Pacific Islander,28,Male,No College Degree,Less than $50k,Other Religion,A Few Times a Year,Independent,"Independent, leans neither",100,0,30,60,70,100,25,60,40,65,60,20,20,50,60,20,20,70,40,60,50,35,60,100,60
NA,Hispanic,NA,Male,No College Degree,Between $50k and $100k,Roman Catholic,Almost Every Week,Independent,"Independent, leans Democrat",60,30,30,50,30,70,30,60,60,50,70,50,30,60,50,50,50,50,50,50,40,60,50,50,60
Working Class,Black,56,Female,No College Degree,Between $50k and $100k,Not Religious,NA,Independent,"Independent, leans neither",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,35,Male,No College Degree,Less than $50k,Not Religious,NA,No Preference,"Independent, leans neither",0,50,NA,NA,NA,NA,50,60,0,50,60,15,40,50,70,0,0,50,70,85,50,0,50,100,30
Lower Class,White,58,Female,College Degree,Less than $50k,Mainline Protestant,Almost Every Week,Democrat,Strong Democrat,85,15,50,NA,50,85,70,85,85,70,70,60,60,70,70,60,60,85,85,85,30,70,70,70,85
Lower Class,White,60,Female,No College Degree,Less than $50k,Evangelical Protestant,Almost Every Week,Republican,Strong Republican,0,100,50,NA,50,NA,85,50,40,100,100,50,100,85,50,60,50,0,100,100,40,100,50,100,0
Middle Class,White,57,Female,College Degree,Less than $50k,Roman Catholic,NA,Republican,Strong Republican,0,100,NA,50,50,100,100,50,40,30,100,60,100,60,50,40,85,30,100,100,85,40,50,100,0
Lower Class,White,58,Female,No College Degree,Less than $50k,Evangelical Protestant,Never,Democrat,Weak Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,White,87,Male,No College Degree,NA,Roman Catholic,NA,Republican,Strong Republican,30,70,50,50,50,60,60,60,30,50,70,70,100,30,60,30,50,50,85,70,70,100,60,50,15
Middle Class,Black,47,Female,No College Degree,Less than $50k,Evangelical Protestant,A Few Times a Year,Independent,"Independent, leans Democrat",100,2,50,NA,NA,NA,85,50,50,50,100,70,60,60,0,60,70,50,100,50,70,100,15,50,60
Upper Class,White,59,Female,College Degree,More than $250k,Undifferentiated Christian,A Few Times a Year,Independent,"Independent, leans Democrat",70,0,50,50,NA,100,60,100,60,40,85,60,60,70,85,60,60,100,100,100,40,85,100,100,85
Middle Class,White,84,Male,No College Degree,Less than $50k,Not Religious,NA,Democrat,Weak Democrat,40,75,NA,NA,50,85,50,50,50,70,70,0,80,0,50,0,70,0,50,50,50,95,85,85,0
Middle Class,White,50,Male,College Degree,Between $100k and $250k,Undifferentiated Christian,A Few Times a Year,Independent,"Independent, leans Republican",15,30,50,50,70,100,0,50,60,40,85,70,70,85,70,15,85,70,100,100,50,100,85,100,15
NA,White,48,Male,College Degree,More than $250k,Not Religious,NA,Democrat,Strong Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Working Class,Other,47,Female,College Degree,Less than $50k,Other Religion,A Few Times a Year,Democrat,Weak Democrat,50,50,40,50,50,100,40,70,70,60,50,40,50,60,85,40,50,60,85,85,30,85,85,70,60
Working Class,White,57,Female,College Degree,Between $100k and $250k,Evangelical Protestant,Every Week,Republican,Strong Republican,40,70,30,15,60,70,85,0,15,0,100,85,85,85,60,60,100,85,100,85,85,100,70,85,40
Working Class,White,24,Male,No College Degree,More than $250k,Roman Catholic,Once or Twice a Month,Republican,Strong Republican,0,40,50,15,70,100,50,40,30,15,50,40,60,60,50,40,50,50,60,50,40,100,50,50,0
NA,White,45,Male,College Degree,Between $100k and $250k,Roman Catholic,Once or Twice a Month,Republican,Strong Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Class,White,62,Female,College Degree,Less than $50k,Not Religious,NA,Republican,Weak Republican,70,60,50,50,50,100,60,70,50,100,100,100,60,100,100,100,50,50,100,100,60,60,100,100,70
Middle Class,White,60,Male,College Degree,Between $100k and $250k,Jewish,A Few Times a Year,Democrat,Strong Democrat,70,0,50,50,40,60,40,70,85,70,70,40,40,70,85,40,70,40,60,100,30,70,50,85,60
Middle Class,White,66,Female,No College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Republican,Strong Republican,30,60,60,10,50,75,80,30,50,NA,NA,75,75,75,NA,60,NA,50,75,NA,80,80,NA,90,20
Working Class,White,30,Male,No College Degree,Less than $50k,Not Religious,NA,Democrat,Weak Democrat,60,0,50,40,50,100,0,85,70,60,85,0,15,60,85,30,15,70,15,85,15,30,85,100,85
NA,Black,49,Female,No College Degree,Between $50k and $100k,Roman Catholic,Almost Every Week,Democrat,Weak Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,White,90,Male,College Degree,Between $50k and $100k,Evangelical Protestant,Every Week,Independent,"Independent, leans Republican",15,70,15,0,70,70,100,70,40,60,100,70,70,70,60,30,85,70,100,85,15,100,50,70,50
Middle Class,White,23,Female,College Degree,Between $100k and $250k,Other Religion,A Few Times a Year,Democrat,Strong Democrat,85,0,15,85,50,85,15,100,100,85,85,15,15,70,100,15,30,85,70,100,0,70,100,100,100
Middle Class,White,70,Female,College Degree,Less than $50k,Undifferentiated Christian,Every Week,No Preference,"Independent, leans Republican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Class,White,28,Female,No College Degree,Less than $50k,Evangelical Protestant,NA,No Preference,"Independent, leans neither",40,40,50,50,50,50,85,30,50,50,50,50,50,60,100,50,50,85,100,70,50,100,100,85,50
Working Class,White,39,Female,College Degree,Less than $50k,Mainline Protestant,Every Week,Independent,"Independent, leans Democrat",30,15,50,60,50,70,15,70,70,50,85,30,40,60,100,40,50,85,100,100,30,85,100,85,85
Middle Class,Black,46,Male,No College Degree,Less than $50k,NA,A Few Times a Year,No Preference,"Independent, leans neither",30,15,50,50,50,40,40,50,50,70,50,30,60,40,50,30,50,40,40,50,15,30,50,70,60
Middle Class,White,61,Male,College Degree,Between $50k and $100k,Roman Catholic,Every Week,Democrat,Weak Democrat,70,40,50,60,50,100,60,70,40,70,70,60,70,60,60,60,60,30,85,70,40,85,50,70,60
NA,Black,40,Female,No College Degree,Less than $50k,Evangelical Protestant,Every Week,Democrat,Strong Democrat,100,30,60,40,NA,NA,NA,70,85,85,85,60,85,40,70,60,60,60,100,NA,NA,85,40,85,100
NA,White,40,Male,College Degree,Between $100k and $250k,Mainline Protestant,NA,Republican,Weak Republican,0,85,30,50,40,15,40,15,15,30,50,60,85,70,60,15,50,30,70,60,85,60,60,50,0
Middle Class,Asian/Pacific Islander,31,Female,College Degree,More than $250k,Undifferentiated Christian,Almost Every Week,Democrat,Weak Democrat,60,30,NA,60,50,85,15,40,40,50,60,40,15,50,60,50,60,70,85,70,15,60,50,85,60
NA,White,66,Female,No College Degree,Between $50k and $100k,Evangelical Protestant,A Few Times a Year,Democrat,Strong Democrat,85,50,NA,NA,NA,6,NA,50,50,85,85,60,50,60,50,50,50,50,85,50,50,85,50,100,60
Middle Class,White,48,Male,No College Degree,Between $50k and $100k,Mainline Protestant,Once or Twice a Month,Republican,Weak Republican,30,85,50,30,70,70,85,50,0,30,60,70,60,60,30,0,60,50,10,85,50,30,30,30,30
Middle Class,Black,59,Male,No College Degree,Less than $50k,Evangelical Protestant,A Few Times a Year,Democrat,Weak Democrat,100,30,70,40,60,60,70,40,70,50,100,70,60,85,30,50,50,60,85,40,5,85,60,100,100
NA,Hispanic,58,Male,No College Degree,Less than $50k,Roman Catholic,Every Week,Democrat,Strong Democrat,85,15,NA,NA,70,70,40,60,70,50,85,85,85,85,50,60,60,30,85,70,50,85,50,85,70
Middle Class,White,37,Female,College Degree,Between $100k and $250k,Not Religious,NA,Other,"Independent, leans Democrat",85,0,50,60,50,60,0,100,85,100,85,30,30,85,100,30,50,100,60,100,0,40,100,100,100
Working Class,White,34,Male,College Degree,Between $50k and $100k,Other Religion,NA,Republican,Weak Republican,15,70,NA,NA,50,60,50,40,40,60,50,50,70,40,50,40,50,40,50,50,40,85,50,70,30
Middle Class,White,36,Male,College Degree,Between $100k and $250k,Mainline Protestant,Almost Every Week,Independent,"Independent, leans Democrat",85,0,50,30,50,85,30,100,85,70,100,85,70,100,100,15,100,100,100,100,30,85,100,100,85
Working Class,White,41,Male,College Degree,NA,Evangelical Protestant,Almost Every Week,Independent,"Independent, leans Republican",0,85,70,0,85,50,85,15,40,0,60,40,85,30,50,40,50,60,85,100,85,100,40,50,0
NA,Black,58,Female,College Degree,Less than $50k,Undifferentiated Christian,Every Week,Democrat,Strong Democrat,100,40,NA,50,85,85,85,60,70,85,85,85,70,60,70,60,85,70,100,85,30,40,60,100,85
NA,White,21,Male,No College Degree,Less than $50k,Evangelical Protestant,Every Week,Republican,Weak Republican,15,85,50,NA,NA,40,100,0,0,30,70,70,85,30,0,70,50,50,100,100,50,100,0,85,50
Working Class,White,35,NA,College Degree,NA,NA,Once or Twice a Month,Democrat,Strong Democrat,40,50,NA,50,50,NA,40,15,60,NA,30,30,NA,40,85,40,15,50,15,60,50,85,0,100,40
Lower Class,White,75,Male,No College Degree,Between $50k and $100k,Roman Catholic,Every Week,Democrat,Strong Democrat,85,30,15,30,60,100,40,50,70,70,60,40,30,40,60,30,50,60,85,60,50,70,60,85,50
NA,White,88,Male,No College Degree,Less than $50k,Evangelical Protestant,Every Week,Republican,Strong Republican,0,85,50,50,50,85,100,60,0,30,85,85,100,85,0,70,85,40,100,85,85,100,40,70,70
Working Class,Black,50,Female,College Degree,Between $50k and $100k,Black Protestant,Almost Every Week,Democrat,Strong Democrat,100,0,NA,85,NA,NA,100,50,50,70,100,85,100,100,100,70,100,100,100,50,50,100,100,100,100
Upper Class,White,38,Female,College Degree,Between $100k and $250k,Roman Catholic,A Few Times a Year,Independent,"Independent, leans Democrat",70,30,60,30,50,85,15,85,70,70,60,50,40,60,85,60,60,85,70,85,15,85,85,85,85
Working Class,White,63,Male,College Degree,NA,Jewish,NA,Independent,"Independent, leans Republican",0,60,30,0,40,100,50,50,40,30,50,50,50,50,50,15,50,40,50,100,40,85,50,50,0
Middle Class,White,47,Female,No College Degree,Between $50k and $100k,Evangelical Protestant,A Few Times a Year,Republican,Strong Republican,30,85,0,NA,70,70,85,85,60,0,100,85,70,70,50,70,70,0,100,100,60,100,NA,70,70
